Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
SBOW;SilverBow Resorces Inc. Common Stock;$28.91;0.87;3103%;425746151.00;;;70994;Energy;Oil & Gas Production
SBR;Sabine Royalty Trust Common Stock;$44.44;0.26;0.589%;647906092.00;United States;;19349;Energy;Oil & Gas Production
SD;SandRidge Energy Inc. Common Stock;$13.34;0.53;4137%;488094259.00;;2016;410094;Energy;Oil & Gas Production
SDPI;Superior Drilling Products Inc. Common Stock;$1.195;0.015;1271%;34320910.00;;2014;112120;Energy;Metal Fabrications
SHLX;Shell Midstream Partners L.P. Common Units representing Limited Partner Interests;$12.42;-0.02;-0.161%;4884656050.00;United States;2014;293141;Energy;Oilfield Services/Equipment
SJT;San Juan Basin Royalty Trust Common Stock;$6.72;0.12;1818%;313211109.00;United States;;129505;Energy;Oil & Gas Production
SLB;Schlumberger N.V. Common Stock;$32.76;0.03;0.092%;45950243517.00;France;;2719271;Energy;Oilfield Services/Equipment
SLCA;U.S. Silica Holdings Inc. Common Stock;$10.6901;0.0401;0.377%;797174077.00;United States;2012;112012;Energy;Metal Fabrications
SM;SM Energy Company Common Stock;$35.27;1.16;3401%;4284380573.00;United States;;483657;Energy;Oil & Gas Production
SMLP;Summit Midstream Partners LP Common Units Representing Limited Partner Interests;$31.57;0.47;1511%;212937314.00;United States;2012;4178;Energy;Oilfield Services/Equipment
SND;Smart Sand Inc. Common Stock;$2.1499;-0.0101;-0.468%;93081714.00;United States;2016;109061;Energy;Metal Fabrications
SNMP;Evolve Transition Infrastructure LP Common Stock;$1.1784;0.0384;3368%;92767790.00;United States;;2435491;Energy;Oil & Gas Production
SNP;China Petroleum & Chemical Corporation Common Stock;$49.29;0.78;1608%;59675999212.00;China;;19034;Energy;Integrated oil Companies
SOI;Solaris Oilfield Infrastructure Inc. Class A Common Stock;$7.9392;-0.0108;-0.136%;253712848.00;United States;2017;24836;Energy;Metal Fabrications
