Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
GNK;Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands);$16.09;0.46;2943%;674566766.00;United States;;225169;Transportation;Marine Transportation
GOGL;Golden Ocean Group Limited Common Stock;$9.21;0.74;8737%;1846012069.00;Bermuda;;1699326;Transportation;Marine Transportation
GOL;Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares;$6.82;0.45;7064%;1346818967.00;Brazil;2004;3245655;Transportation;Air Freight/Delivery Services
GRIN;Grindrod Shipping Holdings Ltd. Ordinary Shares;$14.47;0.25;1758%;277612043.00;Singapore;;52732;Transportation;Marine Transportation
GSL;Global Ship Lease Inc New Class A Common Shares;$26.30;0.13;0.497%;952501919.00;United Kingdom;;462126;Transportation;Marine Transportation
GSLD;Global Ship Lease Inc. 8.00% Senior Notes due 2024;$26.26;0.01;0.038%;0.00;United Kingdom;2019;2269;Transportation;Marine Transportation
HA;Hawaiian Holdings Inc. Common Stock;$23.40;0.01;0.043%;1198378607.00;United States;;157197;Transportation;Air Freight/Delivery Services
HMLP;Hoegh LNG Partners LP Common Units representing Limited Partner Interests;$4.675;0.065;1.41%;155996419.00;Bermuda;2014;51278;Transportation;Marine Transportation
HTLD;Heartland Express Inc. Common Stock;$17.20;0.18;1058%;1357161717.00;United States;1986;39405;Transportation;Trucking Freight/Courier Services
HUBG;Hub Group Inc. Class A Common Stock;$82.50;0.78;0.954%;2857000163.00;United States;1996;48588;Transportation;Oil Refining/Marketing
JBHT;J.B. Hunt Transport Services Inc. Common Stock;$196.69;3.21;1659%;20655182614.00;United States;;164434;Transportation;Trucking Freight/Courier Services
JBLU;JetBlue Airways Corporation Common Stock;$15.485;-0.035;-0.226%;4924702602.00;United States;2002;1563518;Transportation;Air Freight/Delivery Services
JOBY;Joby Aviation Inc. Common Stock;$9.31;0.07;0.758%;5622196759.00;United States;2020;488284;Transportation;Aerospace
KEX;Kirby Corporation Common Stock;$58.30;0.29;0.50%;3504471300.00;United States;;56468;Transportation;Marine Transportation
KNOP;KNOT Offshore Partners LP Common Units representing Limited Partner Interests;$18.82;0.41;2227%;632022010.00;United Kingdom;2013;69704;Transportation;Marine Transportation
KNX;Knight-Swift Transportation Holdings Inc.;$59.18;0.18;0.305%;9821344078.00;United States;2017;326782;Transportation;Trucking Freight/Courier Services
KSU;Kansas City Southern Common Stock;$308.09;-2.47;-0.795%;28030163760.00;United States;;88971;Transportation;Railroads
LPG;Dorian LPG Ltd. Common Stock;$13.0446;0.3946;3119%;523615018.00;;2014;92897;Transportation;Marine Transportation
LSTR;Landstar System Inc. Common Stock;$176.385;1.505;0.861%;6721782942.00;United States;1993;63340;Transportation;Trucking Freight/Courier Services
LUV;Southwest Airlines Company Common Stock;$49.71;0.02;0.04%;29424338577.00;United States;;1746534;Transportation;Air Freight/Delivery Services
MATX;Matson Inc. Common Stock;$93.33;2.81;3104%;3922843480.00;United States;;60689;Transportation;Marine Transportation
MESA;Mesa Air Group Inc. Common Stock;$8.72;0.00;0.00%;312969773.00;United States;2018;79446;Transportation;Air Freight/Delivery Services
MIC;Macquarie Infrastructure Holdings LLC Common Unit;$3.685;0.005;0.136%;323999678.00;United States;2004;252206;Transportation;Aerospace
MRTN;Marten Transport Ltd. Common Stock;$17.50;0.23;1332%;1451499683.00;United States;1986;38748;Transportation;Trucking Freight/Courier Services
NAT;Nordic American Tankers Limited Common Stock;$2.295;0.105;4795%;394658328.00;Bermuda;;1732149;Transportation;Marine Transportation
NCLH;Norwegian Cruise Line Holdings Ltd. Ordinary Shares;$26.51;-0.22;-0.823%;9809560382.00;United States;;5405251;Transportation;Marine Transportation
