Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
TFFP;TFF Pharmaceuticals Inc. Common Stock;$7.125;0.045;0.636%;180773940.00;United States;2019;15324;Consumer Durables;Specialty Chemicals
THR;Thermon Group Holdings Inc. Common Stock;$18.96;0.03;0.158%;631962813.00;United States;2011;67022;Consumer Durables;Electrical Products
TKNO;Alpha Teknova Inc. Common Stock;$23.915;2.535;11857%;669904995.00;United States;2021;68260;Consumer Durables;Specialty Chemicals
TMBR;Timber Pharmaceuticals Inc. Common Stock;$0.503;-0.017;-3269%;18439822.00;United States;2015;1525350;Consumer Durables;Specialty Chemicals
TNYA;Tenaya Therapeutics Inc. Common Stock;$28.42;0.48;1718%;1173171916.00;United States;2021;26272;Consumer Durables;Specialty Chemicals
TPX;Tempur Sealy International Inc. Common Stock;$43.485;-0.335;-0.764%;8371300568.00;United States;2003;289330;Consumer Durables;Home Furnishings
UBX;Unity Biotechnology Inc. Common Stock;$2.845;-0.325;-10252%;157489803.00;United States;2018;1639791;Consumer Durables;Specialty Chemicals
USNA;USANA Health Sciences Inc. Common Stock;$100.86;0.58;0.578%;2018437956.00;United States;;11839;Consumer Durables;Specialty Chemicals
VERV;Verve Therapeutics Inc. Common Stock;$47.79;-1.51;-3063%;2293528074.00;United States;2021;54025;Consumer Durables;Specialty Chemicals
VIOT;Viomi Technology Co. Ltd American Depositary Shares;$4.47;-0.12;-2614%;313592564.00;China;2018;156631;Consumer Durables;Home Furnishings
VIRC;Virco Manufacturing Corporation Common Stock;$3.3373;-0.0127;-0.379%;53737281.00;United States;;1931;Consumer Durables;Industrial Specialties
VLON;Vallon Pharmaceuticals Inc. Common Stock;$4.73;-0.06;-1253%;32224714.00;United States;2021;17305;Consumer Durables;Specialty Chemicals
VRPX;Virpax Pharmaceuticals Inc. Common Stock;$4.02;0.22;5789%;47095028.00;United States;2021;386701;Consumer Durables;Specialty Chemicals
VRT;Vertiv Holdings LLC Class A Common Stock;$26.78;0.12;0.45%;10060536357.00;United States;2018;494723;Consumer Durables;Electrical Products
VTRS;Viatris Inc. Common Stock;$14.565;0.025;0.172%;17614815104.00;United States;;2094092;Consumer Durables;Specialty Chemicals
VTYX;Ventyx Biosciences Inc. Common Stock;$20.315;-0.535;-2566%;1022887005.00;United States;2021;21511;Consumer Durables;Specialty Chemicals
WEBR;Weber Inc. Class A Common Stock;$16.18;0.12;0.747%;849989409.00;;2021;155806;Consumer Durables;Building Products
WHR;Whirlpool Corporation Common Stock;$225.71;4.60;2.08%;13710321490.00;United States;;180950;Consumer Durables;Consumer Electronics/Appliances
WOR;Worthington Industries Inc. Common Stock;$56.78;1.20;2159%;2869954696.00;United States;;24367;Consumer Durables;Aerospace
ZNTL;Zentalis Pharmaceuticals Inc. Common Stock;$79.50;1.28;1636%;3581705868.00;United States;2020;35039;Consumer Durables;Specialty Chemicals
